Ajax,ajax.png,Paises Bajos,4
Atalanta,atalanta.png,Italia,0
Atlético,atletico.png,España,0
Barcelona,barcelona.png,España,5
Bayern,bayern.png,Alemania,6
Benfica,benfica.png,Portugal,2
Besiktas,besiktas.png,Turquía,0
Chelsea,chelsea.png,Inglaterra,2
Club Brugge,club_brugge.png,Bélgica,0
Dortmund,dortmund.png,Alemania,1
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,0
Internazionale,internazionale.png,Italia,3
Juventus,juventus.png,Italia,2
Leipzig,leipzig.png,Alemania,0
Liverpool,liverpool.png,Inglaterra,6
LOSC,losc.png,Francia,0
Malmö,malmo.png,Suecia,0
Man. City,man_city.png,Inglaterra,1
Man. United,man_united.png,Inglaterra,3
Milan,milan.png,Italia,7
Paris,paris.png,Francia,0
Porto,porto.png,Portugal,2
Real Madrid,real_madrid.png,España,14
Salzburg,salzburg.png,Austria,0
Sevilla,sevilla.png,España,0
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,0
Sheriff,sheriff.png,Moldavia,0
Sporting CP,sporting_cp.png,Portugal,0
Villarreal,villarreal.png,España,0
Wolfsburg,wolfsburg.png,Alemania,0
Young Boys,young_boys.png,Suiza,0
Zenit,zenit.png,Rusia,0
